page_number,text,page_number,bucket,confidence,error
51,"ALL 21130 OWNER SHALL RET REG IF INS CANC Minor Violation
ALL 21140 CANC OF INS IN MANDATORY INS STATE Not Applicable
ALL 21210 NON-PAYMENT OF JUDGMENT Not Applicable
ALL 21220 DEFAULT ON INSTALLMENT PAYMENT Not Applicable
ALL 21310 FAIL TO MEET SECURITY FOLLOW ACC Not Applicable
ALL 21320 FAIL TO FILE FUTURE PROOF FOLLOW CONVICTION Not Applicable
ALL 21330 FAIL TO FILE FUTURE PROOF REASON UNSPECIFIED Not Applicable
ALL 21340 FALSE CERTIFICATION Not Applicable
ALL 21400 FAIL TO MEET OTHER REQUIREMENTS Not Applicable
ALL 22010 ACCIDENT Not Applicable
ALL 22020 PROPERTY DAMAGE ONLY ACC INVOLVEMENT Not Applicable
ALL 22030 INJURY ACCIDENT INVOLVEMENT Not Applicable
ALL 22040 FATAL ACCIDENT INVOLVEMENT Not Applicable
ALL 22110 DRIV TO STOP AFTER PI ACC Not Applicable
ALL 22120 DRIV IN PI ACC TO RENDER AID AND INFO Not Applicable
ALL 22210 DRIV TO STOP AFTER PD ACC Not Applicable
ALL 22220 DRIV IN PD ACC TO PROVIDE INFO Not Applicable
ALL 22300 OTHR FAIL TO RPT ACC Not Applicable
ALL 22310 FAIL TO NOTIFY FOLLOWING DISABLING ACC Not Applicable
ALL 22320 DRIV TO FILE WRITTEN ACC RPT WITHIN 10 DAYS Not Applicable
ALL 22330 PERSON SHALL NOT GIVE FALSE INFO IN REQ RPT Not Applicable
ALL 22510 FAIL TO STOP AFTER STRIKING UNATTENDED VEH Major Violation
ALL 22520 FAIL PROVIDE INFO - UNATTENDED PROPERTY ACCI Not Applicable
ALL 22600 FAIL TO STOP AFTER ACC - UNSPECIFIED Major Violation
ALL 22610 FAILURE TO STOP AFTER ACCIDENT - ANIMAL Major Violation
ALL 22700 VIOLATION RESULTING IN ACCIDENT Not Applicable
ALL 22710 AT FAULT (CONTRIBUTE) IN PROPERTY DAMAGE ACCI Number of Incidents
ALL 22720 AT FAULT (CONTRIBUTE) IN INJURY ACCIDENT Number of Incidents
ALL 31100 SPEEDING, GENERALLY Minor Violation
CT 31100 SPEEDING, GENERALLY Not Applicable
ALL 31110 MAXIMUM SPEED LIMIT 30 URBAN, 55 OTHR Minor Violation
CT 31110 MAXIMUM SPEED LIMIT 30 URBAN, 55 OTHR Not Applicable
ALL 31120 SPEED GREATER THAN REASONABLE OR PRUDENT Major Violation",1.0,rule,0.95,
52,"CT 31120 SPEED GREATER THAN REASONABLE OR PRUDENT Not Applicable
ALL 31130 STATE SPEED ZONES AS NOTED BY SIGNS Minor Violation
CT 31130 STATE SPEED ZONES AS NOTED BY SIGNS Not Applicable
ALL 31140 SPEED LIMIT AS ALTERED BY LOCAL AUTHORITIES Minor Violation
CT 31140 SPEED LIMIT AS ALTERED BY LOCAL AUTHORITIES Not Applicable
ALL 31150 SPEED LIMIT FOR TRUCKS AND BUSES Minor Violation
CT 31150 SPEED LIMIT FOR TRUCKS AND BUSES Not Applicable
ALL 31160 SPEED LIMIT IN SCHL ZONE Major Violation
CT 31160 SPEED LIMIT IN SCHL ZONE Not Applicable
ALL 31170 ENERGY SPEED Major Violation
CT 31170 ENERGY SPEED Not Applicable
CT 31180 SPEED IN EXCESS OF 100 MPH Not Applicable
ALL 31180 SPEED IN EXCESS OF 100 MPH Major Violation
ALL 31210 DRIV TOO SLOW AS TO IMPEDE TRAF Minor Violation
CT 31210 DRIV TOO SLOW AS TO IMPEDE TRAF Not Applicable
ALL 31220 SPEED UND POSTED MINIMUM Minor Violation
CT 31220 SPEED UND POSTED MINIMUM Not Applicable
ALL 31310 SPECIAL SPEED LIMITATION FOR MCYC Minor Violation
CT 31310 SPECIAL SPEED LIMITATION FOR MCYC Not Applicable
ALL 31400 SPECIAL SPEED LIMITATIONS Minor Violation
CT 31400 SPECIAL SPEED LIMITATIONS Not Applicable
CT 31410 SPEED LIMIT IN CONST/WORK ZONE Not Applicable
ALL 31410 SPEED LIMIT IN CONST/WORK ZONE Major Violation
ALL 31420 SPECIAL SPEED LIMIT ON BRIDGES Major Violation
CT 31420 SPECIAL SPEED LIMIT ON BRIDGES Not Applicable
ALL 31610 RACING OR PARTICIPATING IN ANY MANNER IN RACE Major Violation
ALL 31620 PREARRANGED RACING Major Violation
ALL 32010 RIGHT OF WAY Minor Violation
ALL 32100 FAIL TO YLD UNSPECIFIED, OTHER Minor Violation
ALL 32110 FAIL TO YLD R.O.W. AT INTSCT Minor Violation
ALL 32120 LT TURNING VEH TO YLD TO APPROACHING TRAF Minor Violation
ALL 32130 FAIL TO OBEY YLD SIGN Minor Violation
ALL 32140 VEH ENTERING FROM PVT RD/DRIVEWAY TO YLD Minor Violation",1.0,rule,0.95,
53,"Exhibit A 
Date:       
Space Reserved for Insurance Department Use Insurer Rate Filing
Adoption of Advisory Organization
Prospective Loss Costs
Reference Filing Adoption Form 
1. INSURER NAME & ADDRESS       
        
      
 PERSON RESPONSIBLE FOR FILING       
 TITLE       TELEPHONE #       
2. INSURER NAIC #       
3. LINE OF INSURANCE       
4. ADVISORY ORGANIZATION       
5. ADVISORY ORGANIZATION REFERENCE FILING#       
6. The above insurer hereby declares that it is a member, subscriber or service purchaser of the named advisory organization for this line of insurance.  The 
insurer hereby files to be deemed to have independently submitted as its own filing the prospective loss costs in the captioned Loss Cost Filing. 
 The insurer's rates will be the combination of the prospective loss costs and the loss cost multipliers 
 and, if utilized, the expense constants specified in the attachments. 
7. PROPOSED RATE LEVEL CHANGE       % EFFECTIVE DATE       
8. PRIOR RATE LEVEL CHANGE       % EFFECTIVE DATE       
11. ATTACH ""SUMMARY OF SUPPORTING INFORMATION FORM"" 
 (Use a separate Summary for each insurer-selected loss cost multiplier.) 
10. CHECK ONE OF THE FOLLOWING: 
The insurer hereby files to have its loss cost multipliers and, if utilized, expense constants be applicable to future revisions of the advisory 
organization's  prospective loss costs for this line of insurance.  The insurer's rates will be the combination of the advisory organization's 
prospective loss costs and the insurer's loss cost multipliers and, if utilized, expense constants specified in the attachments.  The rates will 
apply to policies written on or after the effective date of the advisory organization's prospective loss costs.  This authorization is effective 
until disapproved by the Director, or amended or withdrawn by the insurer. 
The insurer hereby files to have its loss cost multipliers and, if utilized, expense constants be applicable only to the above Advisory 
Organization Reference Filing.",1.0,exhibit,0.85,
54,"Exhibit B
Insurer Name: Date:
NAIC Number: 
Insurer Rate Filing 
Adoption of Advisory Organization Prospective Loss Costs 
Summary of Supporting Information Form 
CALCULATION OF COMPANY LOSS COST MULTIPLIER 
1. Line, Subline, Coverage, Territory, Class, etc. combination to which this page applies: 
2. Loss Cost Modification: 
A. The insurer hereby files to adopt the prospective loss costs in the captioned loss cost filing: 
(CHECK ONE) 
Without modification.  (factor = 1.000)
With the following modification(s).  (Cite the nature and percent modification, and 
attach supporting data and/or rationale for the modification.) 
B. Loss Cost Modification Expressed as a Factor: 
(See examples below.) 
NOTE: If Expense Constants Are Utilized, Attach ""Expense Constants Are Utilized, Attach Constant Supplement"" Or Other 
Supporting Information. Do Not Complete Items 3-7 Below. 
3. Development of Expected Loss Ratio.  (Attach exhibit detailing insurer expense data and/or other supporting information or both.) 
Selected Provisions 
A. Total Production Expense  %
B. General Expense %
C. Taxes, Licenses & Fees %
D. Underwriting Profit & Contingencies %
E.  Other (explain) %
F. TOTAL %
4A. Expected Loss Ratio:  ELR = 100% - 3F = 
4B. ELR in decimal form = 
5. Company Formula Loss Cost Multiplier:  (2B ÷ 4B) = 
6. Company Selected Loss Cost Multiplier = 
 Explain any differences between 5 and 6:
      
      
7. Rate Level change for the coverages to which this page applies %
Example 1: Loss Cost modification factor: If your company's loss cost modification is - 10%, a factor of .90 (1.000 - .100) should be used. 
Example 2: Loss Cost modification factor: If your company's loss cost modification of +15%, a factor of 1.15 (1.000 + .150) should be used.",1.0,actuarial support,0.95,
55,"Exhibit A 
Date:       
Space Reserved for Insurance Department Use Insurer Rate Filing
Adoption of Advisory Organization
Prospective Loss Costs
Reference Filing Adoption Form 
1. INSURER NAME & ADDRESS       
        
      
 PERSON RESPONSIBLE FOR FILING       
 TITLE       TELEPHONE #       
2. INSURER NAIC #       
3. LINE OF INSURANCE       
4. ADVISORY ORGANIZATION       
5. ADVISORY ORGANIZATION REFERENCE FILING#       
6. The above insurer hereby declares that it is a member, subscriber or service purchaser of the named advisory organization for this line of insurance.  The 
insurer hereby files to be deemed to have independently submitted as its own filing the prospective loss costs in the captioned Loss Cost Filing. 
 The insurer's rates will be the combination of the prospective loss costs and the loss cost multipliers 
 and, if utilized, the expense constants specified in the attachments. 
7. PROPOSED RATE LEVEL CHANGE       % EFFECTIVE DATE       
8. PRIOR RATE LEVEL CHANGE       % EFFECTIVE DATE       
11. ATTACH ""SUMMARY OF SUPPORTING INFORMATION FORM"" 
 (Use a separate Summary for each insurer-selected loss cost multiplier.) 
10. CHECK ONE OF THE FOLLOWING: 
The insurer hereby files to have its loss cost multipliers and, if utilized, expense constants be applicable to future revisions of the advisory 
organization's  prospective loss costs for this line of insurance.  The insurer's rates will be the combination of the advisory organization's 
prospective loss costs and the insurer's loss cost multipliers and, if utilized, expense constants specified in the attachments.  The rates will 
apply to policies written on or after the effective date of the advisory organization's prospective loss costs.  This authorization is effective 
until disapproved by the Director, or amended or withdrawn by the insurer. 
The insurer hereby files to have its loss cost multipliers and, if utilized, expense constants be applicable only to the above Advisory 
Organization Reference Filing.",1.0,form,0.95,
56,"Exhibit B
Insurer Name: Date:
NAIC Number: 
Insurer Rate Filing 
Adoption of Advisory Organization Prospective Loss Costs 
Summary of Supporting Information Form 
CALCULATION OF COMPANY LOSS COST MULTIPLIER 
1. Line, Subline, Coverage, Territory, Class, etc. combination to which this page applies: 
2. Loss Cost Modification: 
A. The insurer hereby files to adopt the prospective loss costs in the captioned loss cost filing: 
(CHECK ONE) 
Without modification.  (factor = 1.000)
With the following modification(s).  (Cite the nature and percent modification, and 
attach supporting data and/or rationale for the modification.) 
B. Loss Cost Modification Expressed as a Factor: 
(See examples below.) 
NOTE: If Expense Constants Are Utilized, Attach ""Expense Constants Are Utilized, Attach Constant Supplement"" Or Other 
Supporting Information. Do Not Complete Items 3-7 Below. 
3. Development of Expected Loss Ratio.  (Attach exhibit detailing insurer expense data and/or other supporting information or both.) 
Selected Provisions 
A. Total Production Expense  %
B. General Expense %
C. Taxes, Licenses & Fees %
D. Underwriting Profit & Contingencies %
E.  Other (explain) %
F. TOTAL %
4A. Expected Loss Ratio:  ELR = 100% - 3F = 
4B. ELR in decimal form = 
5. Company Formula Loss Cost Multiplier:  (2B ÷ 4B) = 
6. Company Selected Loss Cost Multiplier = 
 Explain any differences between 5 and 6:
      
      
7. Rate Level change for the coverages to which this page applies %
Example 1: Loss Cost modification factor: If your company's loss cost modification is - 10%, a factor of .90 (1.000 - .100) should be used. 
Example 2: Loss Cost modification factor: If your company's loss cost modification of +15%, a factor of 1.15 (1.000 + .150) should be used.",1.0,actuarial support,0.95,
57,"Exhibit A 
Date:       
Space Reserved for Insurance Department Use Insurer Rate Filing
Adoption of Advisory Organization
Prospective Loss Costs
Reference Filing Adoption Form 
1. INSURER NAME & ADDRESS       
        
      
 PERSON RESPONSIBLE FOR FILING       
 TITLE       TELEPHONE #       
2. INSURER NAIC #       
3. LINE OF INSURANCE       
4. ADVISORY ORGANIZATION       
5. ADVISORY ORGANIZATION REFERENCE FILING#       
6. The above insurer hereby declares that it is a member, subscriber or service purchaser of the named advisory organization for this line of insurance.  The 
insurer hereby files to be deemed to have independently submitted as its own filing the prospective loss costs in the captioned Loss Cost Filing. 
 The insurer's rates will be the combination of the prospective loss costs and the loss cost multipliers 
 and, if utilized, the expense constants specified in the attachments. 
7. PROPOSED RATE LEVEL CHANGE       % EFFECTIVE DATE       
8. PRIOR RATE LEVEL CHANGE       % EFFECTIVE DATE       
11. ATTACH ""SUMMARY OF SUPPORTING INFORMATION FORM"" 
 (Use a separate Summary for each insurer-selected loss cost multiplier.) 
10. CHECK ONE OF THE FOLLOWING: 
The insurer hereby files to have its loss cost multipliers and, if utilized, expense constants be applicable to future revisions of the advisory 
organization's  prospective loss costs for this line of insurance.  The insurer's rates will be the combination of the advisory organization's 
prospective loss costs and the insurer's loss cost multipliers and, if utilized, expense constants specified in the attachments.  The rates will 
apply to policies written on or after the effective date of the advisory organization's prospective loss costs.  This authorization is effective 
until disapproved by the Director, or amended or withdrawn by the insurer. 
The insurer hereby files to have its loss cost multipliers and, if utilized, expense constants be applicable only to the above Advisory 
Organization Reference Filing.",1.0,form,0.95,
58,"Exhibit B
Insurer Name: Date:
NAIC Number: 
Insurer Rate Filing 
Adoption of Advisory Organization Prospective Loss Costs 
Summary of Supporting Information Form 
CALCULATION OF COMPANY LOSS COST MULTIPLIER 
1. Line, Subline, Coverage, Territory, Class, etc. combination to which this page applies: 
2. Loss Cost Modification: 
A. The insurer hereby files to adopt the prospective loss costs in the captioned loss cost filing: 
(CHECK ONE) 
Without modification.  (factor = 1.000)
With the following modification(s).  (Cite the nature and percent modification, and 
attach supporting data and/or rationale for the modification.) 
B. Loss Cost Modification Expressed as a Factor: 
(See examples below.) 
NOTE: If Expense Constants Are Utilized, Attach ""Expense Constants Are Utilized, Attach Constant Supplement"" Or Other 
Supporting Information. Do Not Complete Items 3-7 Below. 
3. Development of Expected Loss Ratio.  (Attach exhibit detailing insurer expense data and/or other supporting information or both.) 
Selected Provisions 
A. Total Production Expense  %
B. General Expense %
C. Taxes, Licenses & Fees %
D. Underwriting Profit & Contingencies %
E.  Other (explain) %
F. TOTAL %
4A. Expected Loss Ratio:  ELR = 100% - 3F = 
4B. ELR in decimal form = 
5. Company Formula Loss Cost Multiplier:  (2B ÷ 4B) = 
6. Company Selected Loss Cost Multiplier = 
 Explain any differences between 5 and 6:
      
      
7. Rate Level change for the coverages to which this page applies %
Example 1: Loss Cost modification factor: If your company's loss cost modification is - 10%, a factor of .90 (1.000 - .100) should be used. 
Example 2: Loss Cost modification factor: If your company's loss cost modification of +15%, a factor of 1.15 (1.000 + .150) should be used.",1.0,actuarial support,0.95,
59,"BERKLEY CASUALTY COMPANY 
 
SMALL BUSINESS TRANSPORTATION PROGRAM –  
COMMERCIAL AUTOMOBILE COVERAGES 
 
ACTUARIAL MEMORANDUM 
 
OHIO 
 
 
With this filing, we are introducing the following rule revision for our Small Business Transportation Auto 
Program.  
The company wishes to revise Commercial Auto Rule 25. PREMIUM DEVELOPMENT - ZONE-RATED 
AUTOS. The loss costs for zone-rated vehicles will be determined based on the vehicle’s garaging zip 
code and state. All methods and statistics used in the development of the rules are standard practice 
used within the industry.",1.0,intro information,0.95,
60,"Exhibit A 
Date:       
Space Reserved for Insurance Department Use Insurer Rate Filing
Adoption of Advisory Organization
Prospective Loss Costs
Reference Filing Adoption Form 
1. INSURER NAME & ADDRESS       
        
      
 PERSON RESPONSIBLE FOR FILING       
 TITLE       TELEPHONE #       
2. INSURER NAIC #       
3. LINE OF INSURANCE       
4. ADVISORY ORGANIZATION       
5. ADVISORY ORGANIZATION REFERENCE FILING#       
6. The above insurer hereby declares that it is a member, subscriber or service purchaser of the named advisory organization for this line of insurance.  The 
insurer hereby files to be deemed to have independently submitted as its own filing the prospective loss costs in the captioned Loss Cost Filing. 
 The insurer's rates will be the combination of the prospective loss costs and the loss cost multipliers 
 and, if utilized, the expense constants specified in the attachments. 
7. PROPOSED RATE LEVEL CHANGE       % EFFECTIVE DATE       
8. PRIOR RATE LEVEL CHANGE       % EFFECTIVE DATE       
11. ATTACH ""SUMMARY OF SUPPORTING INFORMATION FORM"" 
 (Use a separate Summary for each insurer-selected loss cost multiplier.) 
10. CHECK ONE OF THE FOLLOWING: 
The insurer hereby files to have its loss cost multipliers and, if utilized, expense constants be applicable to future revisions of the advisory 
organization's  prospective loss costs for this line of insurance.  The insurer's rates will be the combination of the advisory organization's 
prospective loss costs and the insurer's loss cost multipliers and, if utilized, expense constants specified in the attachments.  The rates will 
apply to policies written on or after the effective date of the advisory organization's prospective loss costs.  This authorization is effective 
until disapproved by the Director, or amended or withdrawn by the insurer. 
The insurer hereby files to have its loss cost multipliers and, if utilized, expense constants be applicable only to the above Advisory 
Organization Reference Filing.",1.0,form,0.95,
61,"Exhibit B
Insurer Name: Date:
NAIC Number: 
Insurer Rate Filing 
Adoption of Advisory Organization Prospective Loss Costs 
Summary of Supporting Information Form 
CALCULATION OF COMPANY LOSS COST MULTIPLIER 
1. Line, Subline, Coverage, Territory, Class, etc. combination to which this page applies: 
2. Loss Cost Modification: 
A. The insurer hereby files to adopt the prospective loss costs in the captioned loss cost filing: 
(CHECK ONE) 
Without modification.  (factor = 1.000)
With the following modification(s).  (Cite the nature and percent modification, and 
attach supporting data and/or rationale for the modification.) 
B. Loss Cost Modification Expressed as a Factor: 
(See examples below.) 
NOTE: If Expense Constants Are Utilized, Attach ""Expense Constants Are Utilized, Attach Constant Supplement"" Or Other 
Supporting Information. Do Not Complete Items 3-7 Below. 
3. Development of Expected Loss Ratio.  (Attach exhibit detailing insurer expense data and/or other supporting information or both.) 
Selected Provisions 
A. Total Production Expense  %
B. General Expense %
C. Taxes, Licenses & Fees %
D. Underwriting Profit & Contingencies %
E.  Other (explain) %
F. TOTAL %
4A. Expected Loss Ratio:  ELR = 100% - 3F = 
4B. ELR in decimal form = 
5. Company Formula Loss Cost Multiplier:  (2B ÷ 4B) = 
6. Company Selected Loss Cost Multiplier = 
 Explain any differences between 5 and 6:
      
      
7. Rate Level change for the coverages to which this page applies %
Example 1: Loss Cost modification factor: If your company's loss cost modification is - 10%, a factor of .90 (1.000 - .100) should be used. 
Example 2: Loss Cost modification factor: If your company's loss cost modification of +15%, a factor of 1.15 (1.000 + .150) should be used.",1.0,actuarial support,0.95,
62,"With this filing, Berkley Casualty Company (BCC) is amending the Commercial Auto Coverages under the 
following program as described below.  
 
Berkley Casualty Company – Small Business Transportation Program  
 
BCC is a subscriber with the Insurance Services Office, Inc. (ISO) and had granted ISO filing authority on its 
behalf but has withdrawn that filing authority with ISO for Commercial Auto for the Small Business 
Transportation Program, and our intention is to non-adopt rates including loss costs, forms and rules for this 
program.  The purpose of this submission is to introduce our new trucking model.  We also will be amending 
our Loss Cost Multipliers for an overall rate change of 0%. 
 
We respectfully request to implement this revision for all new and renewal policies effective on or after 
November 1, 2024.  
 
Please note that this filing is mutually exclusive to all other Programs filed and approved on behalf of the 
above captioned companies. All other filed and approved programs for the above captioned companies 
remain on file without change.   
 
With this filing we adopt: 
CA-2023-OPPSR ISOF-133638280 
CA-2023-BRLA1 ISOF-133928762 
CA-2023-BRLC1 ISOF-133928817 
CA-2023-IALL1 ISOF-133925470 
CA-2021-OAMRU  
CA-2021-RAMLC   
CA-2021-ROCP1 
CA-2019-ROCP1 
CL-2019-OMJRU 
CA-2023-OPPSF ISOF-133638351 
CA-2021-OAMFR  
CL-2019-OMJFR",1.0,intro information,0.95,
63,"5/17/2024 
 
 
Re:  Berkley Casualty Company (NAIC: 15911) , (FEIN Number: 63-0866690) 
Letter of Authorization 
             TOI: 20.0 Commercial Auto / 20.00 Commercial Auto Combinations 
 
To Whom It May Concern: 
  
Perr&Knight is hereby authorized to submit rate/rule, rule, form  filing(s) on behalf of 
Berkley Casualty Company. This authorization includes providing additional information 
and responding to questions regarding this filing on our behalf as necessary.  
 
The following individuals at Perr&Knight shall have access to the filing: 
Neresa Torres 
Paula Rossman 
Ieisha James 
Stephanie Joe 
Jeremy DeCarr 
Ashley Allen 
 
Please direct all correspondences and inquiries related to this filing to Perr&Knight. If 
needed, Perr&Knight’s mailing address and phone number are below: 
 
State Filings Department 
Perr&Knight   
401 Wilshire Blvd, Suite 960 
Santa Monica, CA 90401 
Phone: (888) 201-5123 
 
Please contact me if you have any questions regarding this authorization. 
 
Sincerely, 
 
 
 
David A. Hanes 
Assistant Secretary 
W 630-210-0374  
dhanes@wrberkley.com 
 
Digitally signed by: David A. Hanes
DN: CN = David A. Hanes email = 
dhanes@wrberkley.com C = US O = 
Berkley Shared Services OU = 
Assistant Secretary
Date: 2024.05.20 09:46:48 -04'00'
David A. 
Hanes",1.0,correspondence,0.95,
64,"Memorandum 
Loss Cost Calculation for BSB Small Trucking Zone Rating 
 
1. Background 
The loss cost of zone rating for BSB Small Trucking product is implemented at the level of pairs of 
states and 5-digit zip-codes, instead of pairs of the garaging zones and destination zones defined by 
ISO. Therefore, in implementation, a table, with US state name and 5-digit zip-code as the look-up 
key and the loss costs as the look-up values, is created for each coverage of liability, collision, 
comprehensive, and medical expense and for states where each coverage type applies. 
2. Development 
Step1. For each zip code, collect all the inspections that were performed between 2021-01-01 and 
2023-12-31, pertaining to active DOT numbers found in Federal Moter Carrier Safety Administration 
(FMCSA) database as of 2023-12-31. 
Step 2. Look up for the garaging zone for this zip code and the destination zone for the county where 
each of these inspections took place. Then a list of pairs of garaging zone and destination zone was 
created, where the garaging zone is the same. 
Step3. Look up for the loss cost for each item in the list created in step 2, from original ISO’s zone 
rating loss cost table and then calculate the straight average, called the raw zip-code loss cost. 
Step 4. Smooth the raw zip code loss cost. There are three situations: 
a. If a zip code has neighboring zip codes that are located within 10 miles, where the 
distance is the great circle distance between centroids, select the top 5 closest ones. 
Calculate the weighted average of the raw loss cost with the count of inspections of 
each zip code as the weight. The result is called smoothed loss cost. 
b. If zip code does not have any neighboring zip codes that meet the criteria in (a), 
calculate the weighted average of raw loss cost for all zip codes from the same county, 
where the weight is the count of inspections. The result is called county loss cost. 
c. If there are no inspections that are found from the county, calculate the weighted 
average among all the zip codes from the state. The result if called state loss cost. 
Step 6. If smoothed loss cost is available, select it. Otherwise select county loss cost if it is 
available and select state loss cost if not. The result is called the BSB zone rating loss cost at zip 
code level. 
3. Implementation 
In rating, use BSB zone loss cost at zip code level if a pair of state and zip code is found in the 
lookup tables. Otherwise use state loss cost.",1.0,actuarial support,0.95,
65,"Mike DeWine, Governor 
Jon Husted, Lt Governor 
Judith L. French, Director 
Property-Casualty Underwriting Profit & Loss Statement 
OPRAS Division, 50 W Town Street, 3rd Floor - Suite 300, Columbus OH 43215 
1-614-644-2635  |  Fax 1-614-728-1280  |  insurance.ohio.gov
INS4012  (Rev. 02/2021) Page 1 of 1 
Five Year Statement 
Complete Separately for Ohio and Countrywide 
Company: 
Program: 
Line: 
Year Year Year Year Year Total Combined Years 
Dollars Ratio Dollars Ratio Dollars Ratio Dollars Ratio Dollars Ratio Dollars Ratio 
Direct Premiums Written 
Direct Premiums Earned 
Losses Incurred (E)* 
Loss Adjustment 
Expense Incurred (E)* 
Acquisition Expense 
Incurred (W)** 
General Expense (E)* 
Taxes, License & Fees 
Incurred (W)** 
Total Loss & Expense 
Including commission and brokerage, field supervision, collection expense and other acquisition costs. 
*(E) Ratio based on Earned Premium **(W) Ratio based on Written Premium 
All premiums on this exhibit are actual premiums collected (NOT adjusted to manual rates if written at a deviation). 
Berkley Casualty Company
Small Business Transportation Program
Commercial Auto (19.3,19.4,21.2)
2024
2023
2022
16,961,814 
15,842,384 
1,604,447 
34,408,645 
11,222,091 
6,919,775 
388,494 
18,530,360 
4,220,442 
37.6 
3,341,003 
48.3 
386,516 
99.5 
7,947,962 
42.9 
296,235 
2.6 
148,154 
2.1 
45,312 
11.7 
489,700 
2.6 
2,542,094 
15.0 
2,375,298 
15.0 
240,667 
15.0 
5,158,059 
15.0 
4,312,416 
3,456,714 
431,828 
8,200,958",1.0,actuarial support,0.95,
66,"Mike DeWine, Governor 
Jon Husted, Lt Governor 
Judith L. French, Director 
Property-Casualty Underwriting Profit & Loss Statement 
OPRAS Division, 50 W Town Street, 3rd Floor - Suite 300, Columbus OH 43215 
1-614-644-2635  |  Fax 1-614-728-1280  |  insurance.ohio.gov
INS4012  (Rev. 02/2021) Page 1 of 1 
Five Year Statement 
Complete Separately for Ohio and Countrywide 
Company: 
Program: 
Line: 
Year Year Year Year Year Total Combined Years 
Dollars Ratio Dollars Ratio Dollars Ratio Dollars Ratio Dollars Ratio Dollars Ratio 
Direct Premiums Written 
Direct Premiums Earned 
Losses Incurred (E)* 
Loss Adjustment 
Expense Incurred (E)* 
Acquisition Expense 
Incurred (W)** 
General Expense (E)* 
Taxes, License & Fees 
Incurred (W)** 
Total Loss & Expense 
Including commission and brokerage, field supervision, collection expense and other acquisition costs. 
*(E) Ratio based on Earned Premium **(W) Ratio based on Written Premium 
All premiums on this exhibit are actual premiums collected (NOT adjusted to manual rates if written at a deviation). 
Berkley Casualty Company
Small Business Transportation Program
Commercial Auto (19.3,19.4,21.2)
2024
2023
1,380,981 
584,001 
1,964,982 
572,736 
199,359 
772,095 
252,327 
44.1 
11,159 
5.6 
263,486 
34.1 
19,622 
3.4 
1,313 
0.7 
20,934 
2.7 
207,147 
15.0 
87,600 
15.0 
294,747 
15.0 
271,949 
12,471 
284,420",1.0,actuarial support,0.95,
67,"Objection 3 
Applies To: 
Comments: 
Provide support and documentation for the new state zone loss costs and state zip code costs. 
A memorandum on methodology can be found in Memorandum on BSB Zone Rating Loss Cost 
Calculation.docx. A comparison between the new loss cost and the average of in-force book by zip 
code before implementation was performed. The very high correlation justified the validity of 
method. 
 
Please find the attached memo. 
 
Objection 4 
Applies To: 
Comments: 
Provide support for the underwriting tier factors. 
The lift chart on testing data is attached here to show the power of this model on top of the base 
ISO loss cost. As shown in the chart, the model can distinguish low/high risks and there is good 
consistency between the actual loss residual and the prediction.",1.0,correspondence,0.95,
68,,,other,1.0,
69,"Objection 1   
Applies To: 
Comments: 
Regarding response 7 of the previous letter, provide further details regarding the review of the 
insured's IFTAs and inspection patterns for reasonability of the weighted average radius class. 
Explain what the IFTA is and how reviewing it can support the stated expected mileage within each 
radius class. 
 
IFTA stands for International Fuel Tax Agreement, which requires carriers to file a quarterly fuel tax report 
that details mileage information for each state. These IFTA reports are a standardized industry tool used 
to verify the mileage data provided by the insureds. Additionally, underwriters can review  locations 
where inspections happened as available in the  data from the Federal Motor Carrier Safety 
Administration (FMCSA). With IFTA reports and FMCSA inspection data, underwriters can cross-validate 
the radius information provided by the insureds on their applications , by calculating the distance 
between the garaging location and the data shown on the IFTA reports and inspection patterns. 
 
Objection 2  
Applies To: 
Comments: 
Provide further details around how and when the expected mileage within each radius classification can 
change or be updated for a particular vehicle. In particular, clarify whether the expected mileage within 
each radius can change 
1.) On midterm amendment 
2.) On audit 
3.) On renewal or rewrite. 
Revise and supersede as necessary. 
 
Our practice is not to update the expected mileage on midterm amendment or audits. The information 
is updated on renewal or rewrite. 
 
Objection 3 
Applies To: 
Comments: 
The previous response to objection 4 is viewed as incomplete. The attached lift chart shows the lift using 
quintiles, but the factors vary down to the centile level. Provide additional details and support for the 
specific tier factors. Include all data, methods, and assumptions used in selecting the tier factors. 
 
Tier factors can be found in the score -to-tier mapping table, where the model score is the product of 
scores by components (Prior Carrier Length, Commercial Credit Score, Driver-Power-Unit Combination, 
Average Number of Relevant Claims, FMCSA Quality Score, Dump Indicator, and Intermodal Indicator). 
The column “Tier Factor” uses the identical values from the previously approved tier model, and the 
columns “Lower Bound” and “Upper Bound” are obtained by shifting the values of the same columns 
from the previously approved tier model in such a way that the overall tier factor impact on the in -force 
book is neutral, i.e., the aggregate ISO loss cost before tier factors applied equals  the aggregate loss 
cost after tier factors applied. 
A refined lift chart is attached below. Bins are created with policies ordered by the tier factors from low 
to high so that each has as least about 1% of the total loss costs. The orange line is the average actual",1.0,correspondence,0.95,
